  1          2                    3           4      5     6    7    8       9           10   11     12       13     14   
Field      J-name                zgal        dra    dd   theta ref  mag    filter       ref  mag    filter    ref   SED
SDSS       J141654.33-000520.35  0.4746      2.4  -13.9  14.11  12  22.53  g(AB)         15  20.36  r(AB)     15    E/S0 
SDSS       J142310.50+093357.14  0.6139     22.6   12.4  25.55  12  21.81  g(AB)         15  20.15  r(AB)     15    E/S0 
SDSS       J142556.40-001818.79  0.1382     54.7    0.7  54.70  6   17.21  g(AB)         15  16.09  r(AB)     15    E/S0 
1424-118   J142738.10-120350.00  0.3404     -0.4   17.8  17.83  3   20.18  F702W(V)      3   17.04  K'(V)     14    Sbc  
SDSS       J143216.78+095519.29  0.3293      2.8    2.9   4.00  6   21.89  g(AB)         15  20.65  r(AB)     15    Sbc  
SDSS       J150339.98+064259.96  0.1809      2.5    8.2   8.57  6   21.80  g(AB)         15  20.65  r(AB)     15    E/S0 
SDSS       J150339.98+064259.96  0.2333     -5.4  -24.9  25.47  6   21.09  g(AB)         15  20.43  r(AB)     15    Scd  
SDSS       J151228.82-011223.12  0.1284     -8.5    7.0  11.01  6   19.88  g(AB)         15  19.28  r(AB)     15    Scd  
1511+103   J151329.29+101105.54  0.437       5.0    4.5   6.76  3   21.23  F702W(V)      3   18.59  K_s(V)    8     Scd  
SDSS       J151541.23+334739.49  0.1156     -7.0   12.9  14.17  13  17.31  r(AB)         15  14.23  K_s(V)    16    Sbc  
SDSS       J153112.98+091138.78  0.2659      0.4  -11.8  11.81  6   22.03  g(AB)         15  20.85  r(AB)     15    Sbc  
SDSS       J153112.98+091138.78  0.3265     -3.1  -19.1  19.34  6   22.02  g(AB)         15  21.01  r(AB)     15    Scd  
SDSS       J153715.34+023049.73  0.2151      4.9    6.7   8.30  6   20.27  g(AB)         15  19.70  r(AB)     15    Im   
1548+092   J155103.39+090849.25  0.339       8.2   20.3  21.60  2   19.67  F702W(V)      2   16.45  K_s(V)    9     E/S0 
1548+092   J155103.39+090849.25  0.554      -7.8    6.5  10.10  2   21.31  F702W(V)      2   17.61  K_s(V)    9     E/S0 
1548+092   J155103.39+090849.25  0.7703     9999   9999   5.50  8   23.60  R_s(AB)       8   20.60  K_s(V)    8     Im   
1548+092   J155103.39+090849.25  0.803       3.6   16.1  16.20  2   20.68  F702W(V)      2   17.02  K_s(V)    9     Sbc  
SDSS       J155336.46+053423.97  0.3227      4.6   14.3  15.01  6   20.41  g(AB)         15  19.36  r(AB)     15    Sbc  
1555+362   J155504.39+362847.9   0.1892007  13.4    0.4  10.80  18  18.50  F814W(AB)     18  18.79  r(AB)     15    Scd
SDSS       J155557.07-003608.41  0.3006     -7.9   -7.2  10.69  6   21.81  g(AB)         15  21.31  r(AB)     15    Im   
SDSS       J160726.77+471251.37  0.4980    -13.3  -29.6  30.96  12  22.07  g(AB)         15  20.70  r(AB)     15    Sbc  
SDSS       J160749.34-002219.86  0.3985      3.0   -8.6   9.11  6   21.34  g(AB)         15  19.99  r(AB)     15    Sbc  
SDSS       J160905.42+071337.29  0.2075     14.0   -6.6  15.38  6   20.10  g(AB)         15  19.04  r(AB)     15    Sbc  
SDSS       J161714.12+243255.63  0.5703     -7.8   -0.9   7.15  12  22.07  g(AB)         15  20.34  r(AB)     15    E/S0 
SDSS       J161940.56+254323.0   0.12438   -18.1   10.5  19.42  11  17.15  r(AB)         15  13.95  K_s(V)    16    E/S0 
1622+238   J162439.08+234512.20  0.261      25.7   17.7  31.21  2   21.28  F702W(V)      2   17.27  K_s(V)    4     E/S0 
1622+238   J162439.08+234512.20  0.2800     12.7  -31.2  33.30  5   22.90  F702W(AB)     5   19.74  K_s(V)    4     Sbc  
1622+238   J162439.08+234512.20  0.3181     -6.7    9.7  11.82  3   20.00  F702W(V)      3   16.06  K_s(V)    4     E/S0 
1622+238   J162439.08+234512.20  0.4720     -4.3   -3.9   5.79  3   22.27  F702W(V)      3   19.78  K_s(V)    4     Scd  
1622+238   J162439.08+234512.20  0.565      -2.8    9.1   9.57  2   23.42  F702W(V)      2   21.28  K_s(V)    4     Im   
1622+238   J162439.08+234512.20  0.635      -5.5    7.6   9.40  2   23.78  F702W(V)      2   21.91  K_s(V)    4     Im   
1622+238   J162439.08+234512.20  0.6560      1.6   14.3  14.37  3   22.55  F702W(V)      3   19.81  K_s(V)    4     Scd  
1622+238   J162439.08+234512.20  0.7016    -12.4    9.8  15.81  3   21.62  F702W(V)      3   18.10  K_s(V)    4     Sbc  
1622+238   J162439.08+234512.20  0.7975     -9.0    3.1   9.57  3   22.37  F702W(V)      3   18.59  K_s(V)    4     Sbc  
1622+238   J162439.08+234512.20  0.8280      7.9  -17.0  18.47  5   24.20  F702W(AB)     5   19.31  K_s(V)    4     E/S0 
1622+238   J162439.08+234512.20  0.8909      3.0   -0.0   3.01  3   22.64  F702W(V)      3   20.00  K_s(V)    4     Im   
1704+710   J170426.08+705734.7   0.7123     9999   9999   3.10  8   23.42  R_s(AB)       8   19.80  K_s(V)    8     Sbc  
2000-330   J200324.11-325145.13  0.791       1.2   -6.6   6.70  1   21.60  R_{EFOSC}(V)  1    9999  9999      9999  (Sbc)
SDSS       J204303.55-010126.05  0.1329     11.8  -11.9  16.76  6   20.44  g(AB)         15  19.73  r(AB)     15    Sbc  
SDSS       J204303.55-010126.05  0.2356     -0.3  -13.0  13.00  6   19.49  g(AB)         15  18.99  r(AB)     15    Im   
SDSS       J210230.72+094125.08  0.3565      2.1   -4.0   4.50  6   22.30  g(AB)         15  21.22  r(AB)     15    Sbc  
SDSS       J211626.32-062437.44  0.5237     -6.0   22.0  22.79  12  22.27  g(AB)         15  20.70  r(AB)     15    E/S0 
SDSS       J212938.59-063801.85  0.2782      5.8    3.0   6.51  6   22.29  g(AB)         15  21.15  r(AB)     15    Sbc  
2145+067   J214805.45+065738.60  0.790       0.4   -5.5   5.50  1   22.50  R_{EFOSC}(V)  1   18.70  K_s(V)    8     Sbc  
2206-199   J220852.07-194359.0   0.752      9999   9999   1.60  8   22.80  R_s(AB)       8    9999  9999      9999  (Sbc)
2206-199   J220852.07-194359.0   0.948      -6.2    9.2  11.08  3   21.92  F702W(V)      3   19.74  F160W(V)  17    Im   
2206-199   J220852.07-194359.0   1.01655   -12.4   -4.2  13.08  3   20.99  F702W(V)      3   18.87  F160W(V)  17    Im   
SDSS       J221126.76+124458.16  0.4872     -5.0    1.8   5.20  6   22.33  g(AB)         15  20.46  r(AB)     15    E/S0 
SDSS       J221526.74+011356.47  0.1952      2.1   -9.3   9.53  6   22.06  g(AB)         15  21.50  r(AB)     15    Im   
SDSS       J221526.74+011356.47  0.3203    -10.5   -2.7  10.84  6   21.35  g(AB)         15  20.38  r(AB)     15    Scd  
SDSS       J223246.80+134702.04  0.3221     -5.2   -6.7   8.39  6   20.41  g(AB)         15  19.34  r(AB)     15    Sbc  
SDSS       J223316.87+133309.90  0.2138     -7.7    5.5   9.29  6   19.82  g(AB)         15  19.09  r(AB)     15    Scd  
SDSS       J223359.93-003315.79  0.1162     -2.8   -5.0   5.73  6   20.70  g(AB)         15  20.01  r(AB)     15    Sbc  
2231-002   J223408.99+000001.69  0.8549     9999   9999   3.10  8   23.80  R_s(AB)       8    9999  9999      9999  (Sbc)
SDSS       J224704.78-081617.54  0.4270    -11.4   16.5  20.00  6   21.23  g(AB)         15  19.96  r(AB)     15    Sbc  
SDSS       J225036.72+000759.49  0.14826    14.4  -14.4  20.39  11  17.50  r(AB)         15  13.34  K_s(V)    16    E/S0 
SDSS       J230225.49-082154.12  0.3618     -6.4   -2.5   6.82  6   21.90  g(AB)         15  20.38  r(AB)     15    E/S0 
SDSS       J230845.60-091449.45  0.2147     -1.0    3.5   3.64  6   21.42  g(AB)         15  20.00  r(AB)     15    E/S0 
SDSS       J232735.98+153309.57  0.4756     23.9   14.6  27.22  12  22.68  g(AB)         15  21.18  r(AB)     15    Sbc  
SDSS       J232925.18-100722.43  0.4606    -15.8   -6.5  16.81  12  22.17  g(AB)         15  20.48  r(AB)     15    E/S0 
2342+089   J234433.00+091039.4   0.7233     9999   9999   4.80  8   20.76  R_s(AB)       8   17.22  K_s(V)    8     Scd  
2343+125   J234628.21+124859.9   0.7148     9999   9999  11.80  2   21.70  R_s(AB)       9   18.20  K_s(V)    9     Scd  
2343+125   J234628.21+124859.9   0.7313     9999   9999   4.50  8   23.80  R_s(AB)       8   20.30  K_s(V)    8     Scd  
SDSS       J234949.61+003535.39  0.2778     -2.8    7.0   7.54  6   21.71  g(AB)         15  20.45  r(AB)     15    Sbc  
